name,years_experience,skills,education,graduation_year,graduation_percentage,tenth_percentage,twelfth_percentage,tenth_school,twelfth_school,tenth_passing_out_year,twelfth_passing_out_year,extracurricular_activities,companies_worked,interpersonal_skills,Criteria_Label
Neha,10,"Market Research, Process Improvement, Project Management, Requirements Gathering, Microsoft Excel, User Acceptance Testing (UAT), Business Intelligence, Gap Analysis",PGDM in Business Administration at IIM Bangalore,2022,67.16,91.12,85.62,land School,your Higher Secondary School,2017,2018,"Student Government, Sports, Debate Club, Chess Club",Facebook,"Leadership, Teamwork, Negotiation, Problem-solving, Empathy",0
Pranav,10,"Data Visualization, Use Case Analysis, Financial Modeling, SQL, Power BI, Risk Analysis, Data Analysis, Market Research",B.Com in Business Administration at IIT Bombay,2003,81.39,65.84,69.14,way School,game Higher Secondary School,1999,1999,Language Club,Microsoft,"Adaptability, Creativity, Decision Making",0
Ishita,3,"Data Visualization, Requirements Gathering, Stakeholder Management, Project Management, Microsoft Excel, Market Research, Use Case Analysis, Data Analysis",PGDM in Business Administration at IIT Kanpur,2016,79.84,93.1,89.87,whom School,carry Higher Secondary School,2013,2015,"Chess Club, Robotics Club, Art Club","Google, TCS","Decision Making, Communication",0
Mira,1,"Agile Methodology, Data Visualization, Financial Modeling, Data Analysis, SWOT Analysis, Project Management, Stakeholder Management, Power BI",B.Com in Business Administration at IIFT Delhi,2016,70.55,80.08,66.4,floor School,north Higher Secondary School,2014,2012,,McKinsey & Company,"Time Management, Communication",0
Vikram,2,"Process Improvement, Gap Analysis, Data Visualization, Use Case Analysis, Microsoft Excel, Financial Modeling, Data Analysis, Project Management",PGDM in Business Administration at IIT Delhi,2002,61.09,63.32,67.73,ask School,power Higher Secondary School,1999,1999,,"Bain & Company, IBM","Leadership, Decision Making",0
Sanya,7,"Data Visualization, Power BI, Project Management, Microsoft Excel, Business Intelligence, SQL, Market Research, Agile Methodology",PGDM in Business Administration at IIT Madras,2022,82.31,93.54,91.64,half School,plant Higher Secondary School,2018,2020,Volunteering,Ernst & Young,"Decision Making, Negotiation",1
Aditi,9,"Risk Analysis, Project Management, Data Analysis, SQL, Process Improvement, User Acceptance Testing (UAT), Use Case Analysis, Stakeholder Management",B.Com in Business Administration at IIM Lucknow,2022,91.77,86.25,61.06,beyond School,suffer Higher Secondary School,2018,2021,,Deloitte,"Conflict Resolution, Empathy",0
Varun,4,"Risk Analysis, Requirements Gathering, Data Analysis, Data Visualization, Stakeholder Management, Agile Methodology, User Acceptance Testing (UAT), SQL",PGDM in Business Administration at IIFT Delhi,2021,84.74,92.14,76.39,example School,finish Higher Secondary School,2018,2019,Debate Club,"Goldman Sachs, Infosys","Persuasion, Negotiation",0
Rahul,3,"User Acceptance Testing (UAT), SQL, Tableau, Business Intelligence, Microsoft Excel, Data Visualization, Requirements Gathering, Gap Analysis",B.Com in Business Administration at IIM Ahmedabad,2014,75.67,81.41,77.98,certain School,arm Higher Secondary School,2010,2011,"Community Service, Science Club, Music Club","BCG, Bain & Company, Amazon","Conflict Resolution, Communication, Creativity, Persuasion",0
Aarav,11,"Data Analysis, Stakeholder Management, Market Research, Use Case Analysis, Agile Methodology, Project Management, SWOT Analysis, Risk Analysis",BBA in Business Administration at IIT Bombay,2016,87.32,94.43,71.09,in School,quality Higher Secondary School,2014,2012,"Language Club, Chess Club, Sports","Google, Infosys","Teamwork, Time Management",1
Mira,14,"Data Analysis, Tableau, Risk Analysis, Process Improvement, Market Research, Stakeholder Management, Project Management, SWOT Analysis",MBA in Business Administration at Anna University,2002,90.96,63.78,91.36,indicate School,house Higher Secondary School,1999,2001,"Coding Club, Art Club, Music Club, Community Service, Chess Club",Deloitte,"Adaptability, Problem-solving",0
Anaya,11,"Tableau, Data Analysis, Project Management, Gap Analysis, Microsoft Excel, SWOT Analysis, Risk Analysis, Use Case Analysis",B.Com in Business Administration at BITS Pilani,2020,61.94,79.68,73.33,nature School,control Higher Secondary School,2017,2016,"Community Service, Coding Club","Facebook, Deloitte, IBM","Leadership, Negotiation, Time Management, Empathy",0
Ishita,3,"Process Improvement, User Acceptance Testing (UAT), Stakeholder Management, Project Management, Market Research, Power BI, Requirements Gathering, SQL",B.Com in Business Administration at IIT Bombay,2010,87.84,71.2,75.77,wonder School,his Higher Secondary School,2007,2008,"Chess Club, Science Club, Student Government",KPMG,"Adaptability, Decision Making, Negotiation, Active Listening, Persuasion",0
Aditi,5,"Stakeholder Management, Data Visualization, Microsoft Excel, Process Improvement, Data Analysis, Power BI, Risk Analysis, SWOT Analysis",B.Com in Business Administration at IIT Roorkee,2013,67.75,90.75,63.84,catch School,source Higher Secondary School,2011,2009,"Chess Club, Student Government","Infosys, Bain & Company, McKinsey & Company","Teamwork, Persuasion",0
Diya,10,"Agile Methodology, Stakeholder Management, Gap Analysis, Data Visualization, Use Case Analysis, Power BI, SWOT Analysis, Process Improvement",MBA in Business Administration at IIT Kharagpur,2011,77.7,79.32,93.47,energy School,gun Higher Secondary School,2009,2008,"Debate Club, Chess Club, Language Club, Music Club, Sports","Apple, PwC, IBM","Conflict Resolution, Problem-solving, Leadership, Teamwork",1
Aarav,0,"Gap Analysis, Stakeholder Management, Requirements Gathering, Use Case Analysis, SQL, SWOT Analysis, Data Visualization, Microsoft Excel",MBA in Business Administration at IIT Delhi,2022,63.1,89.1,71.08,expert School,control Higher Secondary School,2019,2019,"Literary Club, Debate Club, Chess Club, Science Club, Community Service",BCG,"Teamwork, Active Listening, Negotiation, Creativity, Adaptability",0
Ravi,3,"Data Visualization, Stakeholder Management, SWOT Analysis, User Acceptance Testing (UAT), Business Intelligence, SQL, Use Case Analysis, Requirements Gathering",MBA in Business Administration at NIT Trichy,2003,62.93,81.22,78.27,deal School,lay Higher Secondary School,1998,1999,,"TCS, Deloitte","Conflict Resolution, Problem-solving, Persuasion",0
Rohan,15,"Data Visualization, Stakeholder Management, Agile Methodology, Microsoft Excel, SQL, Requirements Gathering, Business Intelligence, Risk Analysis",PGDM in Business Administration at IIT Kanpur,2000,94.16,70.74,73.03,person School,source Higher Secondary School,1995,1996,"Sports, Volunteering, Music Club","Oracle, TCS, Microsoft","Adaptability, Leadership, Time Management, Conflict Resolution",1
Anaya,14,"Risk Analysis, Business Intelligence, Data Analysis, Stakeholder Management, Financial Modeling, SWOT Analysis, Process Improvement, Microsoft Excel",MBA in Business Administration at NIT Trichy,2017,92.28,61.14,80.3,star School,vote Higher Secondary School,2015,2015,"Community Service, Sports",Accenture,"Leadership, Empathy",0
Aarav,9,"Business Intelligence, Microsoft Excel, Agile Methodology, Power BI, Data Analysis, Tableau, Data Visualization, Gap Analysis",B.Com in Business Administration at IIM Ahmedabad,2001,69.16,75.36,85.51,not School,compare Higher Secondary School,1998,1998,"Community Service, Volunteering, Literary Club, Science Club, Robotics Club","Facebook, Amazon, IBM","Active Listening, Communication, Teamwork",0
Rahul,11,"Business Intelligence, Data Analysis, Microsoft Excel, Market Research, Stakeholder Management, Risk Analysis, Process Improvement, Gap Analysis",MBA in Business Administration at Delhi University,2022,60.37,83.67,72.34,agreement School,Democrat Higher Secondary School,2019,2021,"Drama Club, Volunteering","Microsoft, KPMG","Persuasion, Teamwork, Problem-solving, Creativity, Time Management",0
Anaya,10,"Tableau, Requirements Gathering, Data Analysis, Stakeholder Management, Power BI, SQL, Financial Modeling, Gap Analysis",BBA in Business Administration at IIM Lucknow,2010,93.9,80.87,84.58,owner School,large Higher Secondary School,2008,2006,"Debate Club, Art Club","BCG, IBM, Microsoft","Negotiation, Creativity, Communication, Leadership, Adaptability",1
Ishika,10,"Project Management, Risk Analysis, Power BI, SQL, Microsoft Excel, Financial Modeling, Data Visualization, Use Case Analysis",BBA in Business Administration at IIM Ahmedabad,2013,66.6,74.73,92.14,thought School,ball Higher Secondary School,2009,2009,"Robotics Club, Science Club",Google,"Problem-solving, Conflict Resolution, Communication, Active Listening, Leadership",0
Mira,0,"Process Improvement, SWOT Analysis, Market Research, Data Visualization, Financial Modeling, Power BI, Requirements Gathering, Risk Analysis",B.Com in Business Administration at NIT Trichy,2001,85.97,68.58,73.98,church School,door Higher Secondary School,1999,1999,"Science Club, Student Government, Robotics Club","Infosys, Amazon","Persuasion, Teamwork",0
Aryan,10,"Stakeholder Management, Data Analysis, Gap Analysis, Process Improvement, Power BI, Requirements Gathering, Market Research, Use Case Analysis",PGDM in Business Administration at NIT Warangal,2006,64.19,82.56,64.01,good School,stage Higher Secondary School,2001,2003,Coding Club,"Amazon, Accenture, Microsoft","Communication, Problem-solving, Leadership",0
Mira,2,"Business Intelligence, SQL, Agile Methodology, Tableau, Requirements Gathering, Power BI, Financial Modeling, Stakeholder Management",B.Com in Business Administration at IIT Kanpur,2005,94.32,94.73,64.35,Mr School,quickly Higher Secondary School,2001,2002,,"TCS, McKinsey & Company","Problem-solving, Teamwork, Conflict Resolution, Persuasion, Time Management",0
Yash,15,"Use Case Analysis, Financial Modeling, User Acceptance Testing (UAT), Risk Analysis, Agile Methodology, Market Research, Process Improvement, Microsoft Excel",MBA in Business Administration at IIT Madras,2016,94.18,60.41,86.7,five School,friend Higher Secondary School,2014,2012,"Literary Club, Community Service, Language Club","Ernst & Young, Microsoft","Teamwork, Negotiation",0
Vikram,3,"Agile Methodology, Process Improvement, Stakeholder Management, SWOT Analysis, Requirements Gathering, Microsoft Excel, Power BI, Risk Analysis",BBA in Business Administration at BITS Pilani,2019,81.86,83.73,83.88,suddenly School,put Higher Secondary School,2016,2016,Volunteering,"TCS, PwC","Persuasion, Conflict Resolution",0
Rohan,8,"Requirements Gathering, Gap Analysis, Project Management, SWOT Analysis, User Acceptance Testing (UAT), Stakeholder Management, Process Improvement, Data Analysis",B.Com in Business Administration at IIM Lucknow,2004,78.12,73.06,84.32,brother School,example Higher Secondary School,2001,2002,,"PwC, Infosys, TCS","Active Listening, Problem-solving",1
Arjun,4,"Power BI, Financial Modeling, Agile Methodology, User Acceptance Testing (UAT), Requirements Gathering, SWOT Analysis, Use Case Analysis, Market Research",MBA in Business Administration at IIT Kharagpur,2021,88.06,69.68,89.29,age School,suggest Higher Secondary School,2018,2018,"Chess Club, Robotics Club","KPMG, Infosys, Google","Persuasion, Communication, Adaptability, Creativity, Problem-solving",0
Aryan,11,"Financial Modeling, Process Improvement, Power BI, Project Management, User Acceptance Testing (UAT), Data Visualization, Tableau, Stakeholder Management",MBA in Business Administration at IIM Calcutta,2016,60.01,88.33,88.5,recognize School,sound Higher Secondary School,2011,2013,,"Goldman Sachs, Facebook, PwC","Time Management, Communication",0
Varun,2,"Use Case Analysis, Requirements Gathering, Gap Analysis, Financial Modeling, Data Visualization, Market Research, Risk Analysis, Power BI",PGDM in Business Administration at BITS Pilani,2019,87.61,71.17,74.33,eye School,summer Higher Secondary School,2017,2016,"Art Club, Chess Club, Volunteering","Google, Ernst & Young","Time Management, Adaptability, Leadership, Negotiation, Teamwork",0
Aisha,8,"Project Management, SWOT Analysis, Tableau, Financial Modeling, Data Visualization, Data Analysis, Business Intelligence, Market Research",B.Com in Business Administration at IIT Madras,2002,88.6,91.48,94.68,money School,cell Higher Secondary School,2000,2001,"Debate Club, Music Club, Student Government, Language Club, Community Service","Facebook, Google, Infosys","Communication, Creativity, Teamwork, Problem-solving, Active Listening",1
Rohan,5,"Data Visualization, Business Intelligence, Stakeholder Management, Data Analysis, Agile Methodology, Market Research, Use Case Analysis, User Acceptance Testing (UAT)",PGDM in Business Administration at IIT Roorkee,2020,71.31,84.13,90.13,Congress School,different Higher Secondary School,2017,2018,"Science Club, Art Club, Literary Club","Deloitte, Facebook, IBM","Decision Making, Negotiation, Conflict Resolution",1
Anaya,5,"Gap Analysis, Requirements Gathering, Stakeholder Management, Data Visualization, Use Case Analysis, Power BI, Process Improvement, Microsoft Excel",BBA in Business Administration at IISc Bangalore,2008,76.68,64.41,88.06,health School,report Higher Secondary School,2005,2007,"Literary Club, Chess Club",IBM,"Empathy, Persuasion",0
Varun,3,"Tableau, Stakeholder Management, Agile Methodology, Use Case Analysis, Project Management, Requirements Gathering, Financial Modeling, User Acceptance Testing (UAT)",BBA in Business Administration at IIT Kanpur,2022,74.69,68.6,66.44,from School,either Higher Secondary School,2020,2019,,"McKinsey & Company, Goldman Sachs, Bain & Company","Persuasion, Communication, Teamwork",0
Arjun,9,"SWOT Analysis, Market Research, Data Visualization, Requirements Gathering, Data Analysis, Agile Methodology, SQL, Process Improvement",MBA in Business Administration at BITS Pilani,2012,77.61,74.82,70.81,city School,mother Higher Secondary School,2008,2011,"Coding Club, Community Service, Science Club, Music Club","Facebook, Google, Accenture","Active Listening, Conflict Resolution",1
Sanya,9,"Agile Methodology, Market Research, Power BI, Tableau, Project Management, Microsoft Excel, SWOT Analysis, Requirements Gathering",BBA in Business Administration at IIM Bangalore,2007,82.76,79.6,90.67,bring School,bring Higher Secondary School,2005,2003,"Art Club, Volunteering, Language Club, Sports, Robotics Club",McKinsey & Company,"Persuasion, Teamwork, Creativity, Adaptability, Communication",1
Neha,10,"Financial Modeling, Agile Methodology, Power BI, Project Management, SQL, Use Case Analysis, Market Research, Business Intelligence",B.Com in Business Administration at IIM Ahmedabad,2013,93.59,75.51,85.23,be School,model Higher Secondary School,2011,2012,,Goldman Sachs,"Adaptability, Creativity, Decision Making, Teamwork, Conflict Resolution",1
Pranav,1,"Financial Modeling, Market Research, Requirements Gathering, SWOT Analysis, Use Case Analysis, User Acceptance Testing (UAT), Risk Analysis, Tableau",B.Com in Business Administration at IIT Delhi,2004,80.9,92.53,73.02,maintain School,war Higher Secondary School,2000,2001,,McKinsey & Company,"Decision Making, Problem-solving, Negotiation, Conflict Resolution, Adaptability",0
Sanya,15,"Market Research, Microsoft Excel, Stakeholder Management, Requirements Gathering, SQL, Power BI, Data Analysis, Project Management",B.Com in Business Administration at IISc Bangalore,2018,64.42,86.97,77.64,pressure School,lot Higher Secondary School,2016,2015,"Science Club, Student Government",BCG,"Empathy, Problem-solving, Adaptability, Time Management, Negotiation",0
Yash,1,"Tableau, User Acceptance Testing (UAT), Data Analysis, Financial Modeling, Requirements Gathering, Use Case Analysis, Power BI, Business Intelligence",B.Com in Business Administration at Jawaharlal Nehru University,2015,84.24,65.28,84.37,hard School,service Higher Secondary School,2010,2014,"Debate Club, Coding Club","Microsoft, Infosys","Problem-solving, Persuasion, Adaptability, Conflict Resolution",0
Pranav,3,"Data Visualization, Power BI, Use Case Analysis, Risk Analysis, Stakeholder Management, Microsoft Excel, Tableau, User Acceptance Testing (UAT)",BBA in Business Administration at Delhi University,2018,66.03,61.27,83.88,use School,age Higher Secondary School,2015,2017,"Drama Club, Robotics Club, Science Club, Sports",Microsoft,"Empathy, Creativity, Persuasion",0
Pranav,0,"Microsoft Excel, Gap Analysis, Financial Modeling, Use Case Analysis, User Acceptance Testing (UAT), SWOT Analysis, Risk Analysis, Market Research",PGDM in Business Administration at IIT Delhi,2017,85.78,62.45,80.06,her School,society Higher Secondary School,2013,2016,Drama Club,"McKinsey & Company, Infosys, Deloitte","Negotiation, Adaptability, Leadership, Active Listening, Persuasion",0
Aarav,5,"Data Visualization, Financial Modeling, SWOT Analysis, Risk Analysis, User Acceptance Testing (UAT), Business Intelligence, Requirements Gathering, Market Research",PGDM in Business Administration at BITS Pilani,2006,78.51,66.15,66.0,detail School,away Higher Secondary School,2001,2004,,"Infosys, Google","Decision Making, Adaptability",0
Varun,15,"SQL, User Acceptance Testing (UAT), Financial Modeling, Project Management, Data Analysis, Business Intelligence, Use Case Analysis, Risk Analysis",B.Com in Business Administration at IIT Roorkee,2015,71.1,86.06,65.3,size School,participant Higher Secondary School,2013,2012,Robotics Club,"Apple, BCG, IBM","Persuasion, Empathy",0
Anaya,13,"Gap Analysis, Data Analysis, Power BI, Market Research, SQL, Stakeholder Management, Tableau, Process Improvement",PGDM in Business Administration at IIFT Delhi,2020,71.52,88.92,78.01,four School,tend Higher Secondary School,2016,2016,Chess Club,"KPMG, Apple","Creativity, Teamwork, Time Management",1
Yash,10,"Gap Analysis, Process Improvement, SWOT Analysis, Risk Analysis, Data Analysis, Market Research, Financial Modeling, Data Visualization",BBA in Business Administration at Delhi University,2020,65.36,76.49,61.34,cut School,girl Higher Secondary School,2016,2017,,"PwC, Facebook, Goldman Sachs","Leadership, Teamwork, Conflict Resolution",0
Ishita,12,"Data Visualization, Process Improvement, Agile Methodology, Power BI, Data Analysis, Gap Analysis, Requirements Gathering, Project Management",PGDM in Business Administration at IIT Kanpur,2009,75.08,93.31,69.48,boy School,blood Higher Secondary School,2006,2005,,"Microsoft, Amazon","Problem-solving, Conflict Resolution, Persuasion",0
Varun,6,"Power BI, SWOT Analysis, User Acceptance Testing (UAT), Data Analysis, SQL, Stakeholder Management, Tableau, Market Research",MBA in Business Administration at IIM Bangalore,2014,79.32,94.26,64.07,subject School,note Higher Secondary School,2009,2012,,Ernst & Young,"Conflict Resolution, Teamwork",0
Mira,8,"Power BI, Stakeholder Management, Gap Analysis, Data Analysis, User Acceptance Testing (UAT), Data Visualization, Business Intelligence, SQL",PGDM in Business Administration at IIM Ahmedabad,2008,79.94,83.05,65.61,exist School,analysis Higher Secondary School,2003,2007,"Chess Club, Language Club",TCS,"Negotiation, Leadership, Decision Making, Communication",0
Yash,11,"Data Visualization, Tableau, Gap Analysis, Microsoft Excel, Stakeholder Management, Agile Methodology, Requirements Gathering, Process Improvement",PGDM in Business Administration at IIT Roorkee,2016,73.6,84.32,74.28,service School,possible Higher Secondary School,2012,2014,"Art Club, Sports, Coding Club","Microsoft, PwC","Decision Making, Creativity, Conflict Resolution",1
Rohan,7,"Power BI, Requirements Gathering, Use Case Analysis, Microsoft Excel, User Acceptance Testing (UAT), Data Visualization, SWOT Analysis, Financial Modeling",PGDM in Business Administration at Delhi University,2006,68.62,64.32,69.51,knowledge School,before Higher Secondary School,2002,2002,,TCS,"Problem-solving, Decision Making, Persuasion, Communication",0
Ishita,8,"Gap Analysis, Power BI, Project Management, Agile Methodology, User Acceptance Testing (UAT), SWOT Analysis, Microsoft Excel, Financial Modeling",B.Com in Business Administration at Anna University,2006,93.95,77.91,90.57,few School,look Higher Secondary School,2003,2003,"Student Government, Volunteering, Literary Club",Amazon,"Problem-solving, Negotiation, Conflict Resolution, Communication",1
Ishika,3,"Market Research, Agile Methodology, Project Management, Data Analysis, Financial Modeling, Tableau, Requirements Gathering, Process Improvement",PGDM in Business Administration at IIM Ahmedabad,2018,85.69,80.91,83.99,artist School,rather Higher Secondary School,2013,2016,"Debate Club, Coding Club, Music Club, Community Service, Robotics Club","Deloitte, Accenture","Active Listening, Time Management, Negotiation, Adaptability",0
Rohan,13,"Agile Methodology, Process Improvement, Financial Modeling, Microsoft Excel, Business Intelligence, Power BI, Gap Analysis, Data Visualization",BBA in Business Administration at IIT Madras,2005,81.16,75.07,60.78,become School,plant Higher Secondary School,2001,2004,,"Microsoft, Ernst & Young, Bain & Company","Problem-solving, Creativity",0
Diya,6,"Gap Analysis, User Acceptance Testing (UAT), Risk Analysis, Microsoft Excel, Project Management, Agile Methodology, Data Analysis, Power BI",MBA in Business Administration at IIT Kharagpur,2015,70.22,79.72,74.98,city School,one Higher Secondary School,2010,2011,"Debate Club, Music Club, Language Club, Student Government, Science Club","Apple, Ernst & Young","Decision Making, Negotiation, Adaptability",1
Neha,2,"Microsoft Excel, Market Research, SQL, Gap Analysis, Tableau, Agile Methodology, Data Visualization, Process Improvement",BBA in Business Administration at NIT Warangal,2010,79.88,64.7,71.92,significant School,Democrat Higher Secondary School,2008,2009,Music Club,"Accenture, Apple, BCG","Active Listening, Adaptability",0
Diya,13,"Stakeholder Management, User Acceptance Testing (UAT), Gap Analysis, Financial Modeling, Business Intelligence, Microsoft Excel, Risk Analysis, SQL",PGDM in Business Administration at IIT Kharagpur,2003,63.08,72.87,87.58,explain School,off Higher Secondary School,1999,2002,"Debate Club, Drama Club, Music Club, Chess Club",BCG,"Time Management, Problem-solving, Active Listening, Teamwork",0
Ishita,15,"Risk Analysis, Agile Methodology, Microsoft Excel, Data Analysis, SQL, Business Intelligence, Gap Analysis, Market Research",B.Com in Business Administration at IIT Madras,2005,86.52,83.59,85.53,explain School,player Higher Secondary School,2002,2001,"Community Service, Chess Club, Music Club, Sports, Art Club","Ernst & Young, Apple, Microsoft","Conflict Resolution, Creativity, Negotiation",1
Aditi,3,"Stakeholder Management, Requirements Gathering, Risk Analysis, SWOT Analysis, Business Intelligence, Market Research, Financial Modeling, Data Analysis",B.Com in Business Administration at IISc Bangalore,2017,69.11,61.96,63.56,yet School,political Higher Secondary School,2014,2015,"Robotics Club, Drama Club, Sports",McKinsey & Company,"Creativity, Decision Making, Adaptability, Problem-solving, Persuasion",0
Neha,11,"Requirements Gathering, Business Intelligence, Market Research, Process Improvement, Use Case Analysis, Financial Modeling, User Acceptance Testing (UAT), Data Visualization",PGDM in Business Administration at IIT Madras,2015,68.18,67.86,85.28,usually School,recognize Higher Secondary School,2011,2014,"Volunteering, Community Service",Facebook,"Problem-solving, Adaptability, Empathy",0
Diya,14,"Data Analysis, SWOT Analysis, User Acceptance Testing (UAT), SQL, Process Improvement, Data Visualization, Microsoft Excel, Agile Methodology",B.Com in Business Administration at NIT Warangal,2016,94.87,67.3,63.02,simply School,fast Higher Secondary School,2012,2014,"Drama Club, Art Club",Bain & Company,"Communication, Empathy, Leadership",0
Neha,6,"Requirements Gathering, Project Management, SQL, Business Intelligence, Stakeholder Management, Agile Methodology, Tableau, SWOT Analysis",MBA in Business Administration at IIT Kanpur,2005,69.5,72.69,73.36,claim School,book Higher Secondary School,2003,2004,"Robotics Club, Language Club, Sports, Volunteering","Goldman Sachs, Apple","Persuasion, Adaptability",0
Sanya,8,"Requirements Gathering, Microsoft Excel, Tableau, Market Research, Process Improvement, Financial Modeling, SQL, Data Analysis",B.Com in Business Administration at IIM Calcutta,2009,83.46,74.57,68.15,investment School,technology Higher Secondary School,2006,2007,"Chess Club, Art Club",TCS,"Problem-solving, Conflict Resolution",0
Ishita,12,"Project Management, Gap Analysis, SQL, Microsoft Excel, Process Improvement, Data Analysis, Financial Modeling, User Acceptance Testing (UAT)",B.Com in Business Administration at IIM Lucknow,2012,90.25,91.61,76.84,sister School,people Higher Secondary School,2008,2011,"Community Service, Language Club","Deloitte, PwC","Leadership, Conflict Resolution, Active Listening",1
Rohan,14,"Market Research, Gap Analysis, SQL, Requirements Gathering, Project Management, Tableau, Agile Methodology, Financial Modeling",B.Com in Business Administration at NIT Warangal,2002,89.95,82.09,67.8,where School,range Higher Secondary School,2000,2001,"Language Club, Chess Club, Community Service, Drama Club","Accenture, Google, Deloitte","Empathy, Time Management, Decision Making",0
Vikram,9,"Stakeholder Management, Financial Modeling, SQL, Process Improvement, Power BI, Agile Methodology, Project Management, Business Intelligence",B.Com in Business Administration at NIT Trichy,2012,60.1,82.7,67.77,expect School,interesting Higher Secondary School,2009,2008,"Student Government, Community Service","IBM, Bain & Company","Adaptability, Empathy, Conflict Resolution, Decision Making, Creativity",0
Vikram,7,"Process Improvement, SWOT Analysis, Data Analysis, User Acceptance Testing (UAT), Tableau, Risk Analysis, Business Intelligence, SQL",PGDM in Business Administration at IIFT Delhi,2000,67.77,81.26,77.05,religious School,together Higher Secondary School,1995,1996,"Chess Club, Community Service, Language Club, Literary Club, Drama Club",Accenture,"Active Listening, Creativity, Leadership",0
Arjun,4,"Use Case Analysis, Gap Analysis, Requirements Gathering, User Acceptance Testing (UAT), Agile Methodology, SWOT Analysis, Data Visualization, SQL",PGDM in Business Administration at IISc Bangalore,2018,62.61,63.93,69.3,responsibility School,huge Higher Secondary School,2016,2014,Art Club,"Amazon, Accenture, KPMG","Decision Making, Empathy, Problem-solving",0
Aryan,15,"Microsoft Excel, Agile Methodology, Tableau, Business Intelligence, SWOT Analysis, Risk Analysis, Project Management, Process Improvement",B.Com in Business Administration at NIT Trichy,2020,65.7,60.56,86.18,adult School,become Higher Secondary School,2015,2017,,"Bain & Company, McKinsey & Company, Ernst & Young","Decision Making, Negotiation",0
Ishika,14,"User Acceptance Testing (UAT), Data Analysis, Project Management, Power BI, Gap Analysis, Agile Methodology, Data Visualization, Tableau",MBA in Business Administration at NIT Warangal,2002,89.28,73.08,78.99,happy School,step Higher Secondary School,1997,1999,Literary Club,PwC,"Persuasion, Empathy, Leadership",1
Vikram,3,"Market Research, SWOT Analysis, Project Management, Tableau, Process Improvement, User Acceptance Testing (UAT), Gap Analysis, Financial Modeling",PGDM in Business Administration at BITS Pilani,2005,84.9,68.34,68.88,treatment School,face Higher Secondary School,2002,2003,"Science Club, Literary Club, Coding Club, Community Service, Volunteering","BCG, Facebook, Amazon","Negotiation, Empathy, Conflict Resolution",0
Diya,10,"SWOT Analysis, Financial Modeling, Process Improvement, Microsoft Excel, Risk Analysis, Data Visualization, Agile Methodology, Gap Analysis",BBA in Business Administration at IIM Ahmedabad,2010,60.33,94.58,69.01,business School,night Higher Secondary School,2008,2008,"Sports, Language Club, Literary Club, Volunteering","TCS, BCG","Empathy, Teamwork, Conflict Resolution, Negotiation",0
Aditi,0,"Microsoft Excel, SWOT Analysis, Business Intelligence, Requirements Gathering, Market Research, Data Analysis, Risk Analysis, Data Visualization",BBA in Business Administration at Jawaharlal Nehru University,2012,92.07,73.09,77.58,people School,type Higher Secondary School,2010,2008,,Facebook,"Communication, Teamwork, Leadership, Creativity, Decision Making",0
Mira,6,"Agile Methodology, Tableau, Business Intelligence, Requirements Gathering, Market Research, Data Visualization, Gap Analysis, Risk Analysis",MBA in Business Administration at NIT Warangal,2004,60.98,83.23,74.1,sport School,win Higher Secondary School,2000,2000,"Robotics Club, Coding Club, Art Club, Science Club","PwC, Amazon, BCG","Problem-solving, Persuasion",0
Kiran,5,"Market Research, Risk Analysis, Project Management, Requirements Gathering, Business Intelligence, Financial Modeling, SQL, User Acceptance Testing (UAT)",MBA in Business Administration at IIT Kharagpur,2005,65.15,92.59,87.39,base School,across Higher Secondary School,2001,2002,"Debate Club, Coding Club",Accenture,"Time Management, Communication",0
Vikram,2,"Data Analysis, Gap Analysis, Agile Methodology, SWOT Analysis, Risk Analysis, Project Management, Market Research, SQL",BBA in Business Administration at IIFT Delhi,2006,80.06,75.92,88.27,myself School,world Higher Secondary School,2002,2005,"Student Government, Literary Club",IBM,"Empathy, Teamwork",0
Aryan,8,"Market Research, Data Analysis, Tableau, Stakeholder Management, Agile Methodology, Risk Analysis, Gap Analysis, Process Improvement",MBA in Business Administration at IIT Roorkee,2018,82.52,87.29,60.51,someone School,million Higher Secondary School,2016,2015,,"Microsoft, McKinsey & Company","Problem-solving, Adaptability, Decision Making",0
Pranav,13,"SQL, Tableau, Data Visualization, SWOT Analysis, Project Management, Power BI, User Acceptance Testing (UAT), Process Improvement",PGDM in Business Administration at NIT Trichy,2010,85.88,68.24,71.12,behind School,rise Higher Secondary School,2007,2007,Coding Club,"Facebook, Goldman Sachs, IBM","Leadership, Empathy, Creativity",0
Ishita,12,"Gap Analysis, Tableau, Microsoft Excel, Power BI, Financial Modeling, Requirements Gathering, Use Case Analysis, Business Intelligence",MBA in Business Administration at Jawaharlal Nehru University,2016,86.96,61.85,86.0,many School,style Higher Secondary School,2014,2015,"Drama Club, Art Club, Volunteering, Literary Club",Amazon,"Active Listening, Empathy, Time Management, Teamwork, Negotiation",0
Yash,14,"Microsoft Excel, Tableau, Process Improvement, Requirements Gathering, SWOT Analysis, Agile Methodology, Data Analysis, Power BI",BBA in Business Administration at IIT Roorkee,2022,73.72,82.62,71.88,maybe School,bank Higher Secondary School,2018,2020,"Drama Club, Robotics Club",Google,"Empathy, Problem-solving",1
